epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,8630.51,1.20873,0.57476,0.84742,0.74628,0.60641,0.64238,0.34678,1.29422,0.59365,0.84851,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,8746.5,1.20503,0.57021,0.84514,0.74768,0.60309,0.64081,0.34681,1.29396,0.59305,0.84807,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,8862.35,1.20723,0.56955,0.84433,0.7458,0.60423,0.64153,0.34664,1.29453,0.59406,0.84846,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,8977.54,1.20181,0.56737,0.84372,0.74277,0.60938,0.64377,0.34671,1.29695,0.5934,0.84902,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,9092.64,1.19856,0.56567,0.84423,0.74295,0.60678,0.64073,0.3461,1.29747,0.59487,0.84927,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,9207.94,1.18704,0.55796,0.843,0.74179,0.60827,0.64129,0.34575,1.29757,0.59412,0.84923,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,9323.25,1.19321,0.56135,0.84357,0.74633,0.60664,0.64222,0.346,1.29776,0.59341,0.84909,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,9438.52,1.18285,0.55622,0.8422,0.74718,0.60546,0.64336,0.3464,1.29683,0.59397,0.84819,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,9554.29,1.18236,0.55625,0.842,0.74751,0.60643,0.64362,0.34666,1.29624,0.59342,0.84807,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,9670.16,1.1849,0.55566,0.84133,0.74915,0.60655,0.64377,0.3471,1.29555,0.5933,0.84792,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
